pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
149;st101_Malmi;20220101;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;475;432;413;292;198;194;238;235;224;306;461;734;963;1155;1298;1312;1215;1041;943;735;681;570;463;303;14881
149;st101_Malmi;20220101;2;Tapiola;*;Ajoneuvoluokka;HA - PA;495;559;380;301;253;182;296;213;206;279;434;695;944;1186;1429;1457;1404;1325;1226;1020;885;658;496;307;16630
149;st101_Malmi;20220102;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;224;148;103;68;62;67;144;223;280;542;748;1075;1438;1651;1682;1757;1583;1452;1199;994;792;657;424;249;17562
149;st101_Malmi;20220102;2;Tapiola;*;Ajoneuvoluokka;HA - PA;259;163;105;61;74;92;196;219;217;424;762;1002;1447;1810;1975;1994;1959;1900;1729;1369;1032;799;464;292;20344
149;st101_Malmi;20220103;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;145;99;83;67;118;347;1083;1434;1421;1336;1352;1459;1577;1701;2097;2533;2257;1881;1543;1115;982;717;479;253;26079
149;st101_Malmi;20220103;2;Tapiola;*;Ajoneuvoluokka;HA - PA;180;120;107;100;151;545;1868;1917;1712;1409;1362;1478;1627;1779;2066;2425;2279;1876;1528;1303;1114;715;521;230;28412
149;st101_Malmi;20220104;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;155;100;74;52;94;313;1069;1505;1307;1241;1190;1402;1511;1788;2101;2565;2375;2041;1676;1211;922;738;432;266;26128
149;st101_Malmi;20220104;2;Tapiola;*;Ajoneuvoluokka;HA - PA;167;111;93;62;108;525;1912;1930;1519;1390;1397;1454;1618;1714;1917;2412;2309;1948;1373;1381;1114;734;497;253;27938
149;st101_Malmi;20220105;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;166;87;70;51;106;342;1102;1465;1415;1275;1331;1531;1597;1904;2316;2790;2293;1993;1685;1267;1035;746;510;276;27353
149;st101_Malmi;20220105;2;Tapiola;*;Ajoneuvoluokka;HA - PA;177;100;87;77;135;566;1932;1935;1574;1453;1372;1485;1686;1898;2075;2490;2497;1995;1717;1368;1121;861;522;289;29412
149;st101_Malmi;20220106;1;Itäkeskus;*;Ajoneuvoluokka;HA - PA;202;121;91;77;69;151;442;442;498;854;1179;1489;1654;1855;1947;1825;1689;1502;1420;1062;864;684;422;254;20793
149;st101_Malmi;20220106;2;Tapiola;*;Ajoneuvoluokka;HA - PA;208;138;95;73;98;239;693;485;471;772;953;1290;1506;1820;1965;2076;1761;1752;1692;1351;1047;744;481;295;22005
